Tên trường,Liên kết
Trường Sĩ Quan Chính Trị - Đại Học Chính Trị,/diem-chuan/truong-si-quan-chinh-tri-dai-hoc-chinh-tri-LCH.html
Trường Sĩ Quan Lục Quân 1 - Đại học Trần Quốc Tuấn,/diem-chuan/truong-si-quan-luc-quan-1-dai-hoc-tran-quoc-tuan-LAH.html
Đại Học Điều Dưỡng Nam Định,/diem-chuan/dai-hoc-dieu-duong-nam-dinh-YDD.html
Đại Học Nông Lâm TPHCM,/diem-chuan/dai-hoc-nong-lam-tphcm-NLS.html
Trường Y Dược – Đại Học Đà Nẵng,/diem-chuan/truong-y-duoc-dai-hoc-da-nang-DDY.html
Học Viện Biên Phòng,/diem-chuan/hoc-vien-bien-phong-BPH.html
Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,/diem-chuan/phan-hieu-dai-hoc-da-nang-tai-kon-tum-DDP.html
Đại Học Công Đoàn,/diem-chuan/dai-hoc-cong-doan-LDA.html
Đại Học Sư Phạm Thể Dục Thể Thao TPHCM,/diem-chuan/dai-hoc-su-pham-the-duc-the-thao-tphcm-STS.html
Đại học Công nghiệp Vinh,/diem-chuan/dai-hoc-cong-nghiep-vinh-DCV.html
Đại Học Đồng Nai,/diem-chuan/dai-hoc-dong-nai-DNU.html
Đại Học Hoa Sen,/diem-chuan/dai-hoc-hoa-sen-HSU.html
Trường Sĩ Quan Pháo Binh,/diem-chuan/truong-si-quan-phao-binh-PBH.html
Trường Sĩ Quan Lục Quân 2 - Đại học Nguyễn Huệ,/diem-chuan/truong-si-quan-luc-quan-2-dai-hoc-nguyen-hue-LBH.html
Đại học Tài Nguyên và Môi Trường Hà Nội,/diem-chuan/dai-hoc-tai-nguyen-va-moi-truong-ha-noi-DMT.html
Học Viện Quản Lý Giáo Dục,/diem-chuan/hoc-vien-quan-ly-giao-duc-HVQ.html
Đại Học Hà Nội,/diem-chuan/dai-hoc-ha-noi-NHF.html
Trường Sĩ Quan Đặc Công,/diem-chuan/truong-si-quan-dac-cong-DCH.html
Trường Sĩ Quan Tăng - Thiết Giáp,/diem-chuan/truong-siquan-tang-thiet-giap-TGH.html
Trường Sĩ Quan Thông Tin - Hệ Quân sự - Đại Học Thông Tin Liên Lạc,/diem-chuan/truong-si-quan-thong-tin-he-quan-su-dai-hoc-thong-tin-lien-lac-TTH.html
Trường Sĩ Quan Công Binh - Hệ Quân sự - Đại học Ngô Quyền,/diem-chuan/truong-si-quan-cong-binh-he-quan-su-dai-hoc-ngo-quyen-SNH.html
Học Viện Khoa Học Quân Sự - Hệ Quân sự,/diem-chuan/hoc-vien-khoa-hoc-quan-su-he-quan-su-NQH.html
Đại Học Sư Phạm Kỹ Thuật Hưng Yên,/diem-chuan/dai-hoc-su-pham-ky-thuat-hung-yen-SKH.html
Đại Học Mở Hà Nội,/diem-chuan/dai-hoc-mo-ha-noi-MHN.html
Đại Học Kiến Trúc TPHCM,/diem-chuan/dai-hoc-kien-truc-tphcm-KTS.html
Đại học Tài Nguyên và Môi Trường TPHCM,/diem-chuan/dai-hoc-tai-nguyen-va-moi-truong-tphcm-DTM.html
Học Viện Y Dược Học Cổ Truyền Việt Nam,/diem-chuan/hoc-vien-y-duoc-hoc-co-truyen-viet-nam-HYD.html
Đại Học Mỹ Thuật Việt Nam,/diem-chuan/dai-hoc-my-thuat-viet-nam-MTH.html
Học Viện Hải Quân,/diem-chuan/hoc-vien-hai-quan-HQH.html
Trường Sĩ Quan Phòng Hóa,/diem-chuan/truong-si-quan-phong-hoa-HGH.html
Học Viện Hậu Cần - Hệ Quân sự,/diem-chuan/hoc-vien-hau-can-he-quan-su-HEH.html
Đại Học Công Nghiệp Hà Nội,/diem-chuan/dai-hoc-cong-nghiep-ha-noi-DCN.html
Đại Học Phú Yên,/diem-chuan/dai-hoc-phu-yen-DPY.html
Đại Học Xây Dựng Miền Trung,/diem-chuan/dai-hoc-xay-dung-mien-trung-XDT.html
Đại Học Y Hà Nội,/diem-chuan/dai-hoc-y-ha-noi-YHB.html
Đại Học Kinh Bắc,/diem-chuan/dai-hoc-kinh-bac-UKB.html
Đại học Tân Trào,/diem-chuan/dai-hoc-tan-trao-TQU.html
Đại học Sao Đỏ,/diem-chuan/dai-hoc-sao-do-SDU.html
Đại Học Y Khoa Vinh,/diem-chuan/dai-hoc-y-khoa-vinh-YKV.html
Đại Học Văn Hóa Hà Nội,/diem-chuan/dai-hoc-van-hoa-ha-noi-VHH.html
Khoa Giáo Dục Thể Chất – Đại Học Huế,/diem-chuan/khoa-giao-duc-the-chat-dai-hoc-hue-DHC.html
Đại Học Nghệ Thuật – Đại Học Huế,/diem-chuan/dai-hoc-nghe-thuat-dai-hoc-hue-DHN.html
Đại Học Ngoại Ngữ – Đại Học Huế,/diem-chuan/dai-hoc-ngoai-ngu-dai-hoc-hue-DHF.html
Đại Học Vinh,/diem-chuan/dai-hoc-vinh-TDV.html
Đại Học Ngân Hàng TPHCM,/diem-chuan/dai-hoc-ngan-hang-tphcm-NHS.html
Phân Hiệu Đại Học Huế tại Quảng Trị,/diem-chuan/phan-hieu-dai-hoc-hue-tai-quang-tri-DHQ.html
Đại học Luật - Đại Học Huế,/diem-chuan/dai-hoc-luat-dai-hoc-hue-DHA.html
Trường Du Lịch – Đại Học Huế,/diem-chuan/truong-du-lich-dai-hoc-hue-DHD.html
Đại Học Kinh Tế – Đại Học Huế,/diem-chuan/dai-hoc-kinh-te-dai-hoc-hue-DHK.html
Đại Học Nông Lâm – Đại Học Huế,/diem-chuan/dai-hoc-nong-lam-dai-hoc-hue-DHL.html
Đại Học Sư Phạm – Đại Học Huế,/diem-chuan/dai-hoc-su-pham-dai-hoc-hue-DHS.html
Đại Học Y Dược – Đại Học Huế,/diem-chuan/dai-hoc-y-duoc-dai-hoc-hue-DHY.html
Đại Học Khoa Học – Đại Học Huế,/diem-chuan/dai-hoc-khoa-hoc-dai-hoc-hue-DHT.html
Đại học Kiểm Sát Hà Nội,/diem-chuan/dai-hoc-kiem-sat-ha-noi-DKS.html
Đại Học Sư Phạm Hà Nội 2,/diem-chuan/dai-hoc-su-pham-ha-noi-2-SP2.html
Đại Học Xây Dựng Hà Nội,/diem-chuan/dai-hoc-xay-dung-ha-noi-XDA.html
Đại Học Sư Phạm Nghệ Thuật Trung Ương,/diem-chuan/dai-hoc-su-pham-nghe-thuat-trung-uong-GNT.html
Đại Học Tây Nguyên,/diem-chuan/dai-hoc-tay-nguyen-TTN.html
Đại Học Tôn Đức Thắng,/diem-chuan/dai-hoc-ton-duc-thang-DTT.html
Đại Học Khoa Học Xã Hội và Nhân Văn – Đại Học Quốc Gia TPHCM,/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-tphcm-QSX.html
Đại Học Công Nghiệp TPHCM,/diem-chuan/dai-hoc-cong-nghiep-tphcm-IUH.html
Đại Học Tây Đô,/diem-chuan/dai-hoc-tay-do-DTD.html
Học Viện Tài Chính,/diem-chuan/hoc-vien-tai-chinh-HTC.html
Đại Học Thể Dục Thể Thao Bắc Ninh,/diem-chuan/dai-hoc-the-duc-the-thao-bac-ninh-TDB.html
Học Viện Ngân Hàng (Phân Viện Phú Yên),/diem-chuan/hoc-vien-ngan-hang-phan-vien-phu-yen-NHP.html
Học Viện Ngoại Giao,/diem-chuan/hoc-vien-ngoai-giao-HQT.html
Đại Học Văn Hóa TPHCM,/diem-chuan/dai-hoc-van-hoa-tphcm-VHS.html
Đại Học Thương Mại,/diem-chuan/dai-hoc-thuong-mai-TMU.html
Học Viện Ngân Hàng,/diem-chuan/hoc-vien-ngan-hang-NHH.html
Đại Học Thể Dục Thể Thao TPHCM,/diem-chuan/dai-hoc-the-duc-the-thao-tphcm-TDS.html
Đại Học Lâm nghiệp,/diem-chuan/dai-hoc-lam-nghiep-LNH.html
Đại Học Kiến Trúc Hà Nội,/diem-chuan/dai-hoc-kien-truc-ha-noi-KTA.html
Đại học Kinh Tế Luật – Đại Học Quốc Gia TPHCM,/diem-chuan/dai-hoc-kinh-te-luat-dai-hoc-quoc-gia-tphcm-QSK.html
Đại Học Mở TPHCM,/diem-chuan/dai-hoc-mo-tphcm-MBS.html
Đại Học Nguyễn Trãi,/diem-chuan/dai-hoc-nguyen-trai-NTU.html
Đại Học Công Thương TPHCM,/diem-chuan/dai-hoc-cong-thuong-tphcm-DCT.html
Đại Học Nha Trang,/diem-chuan/dai-hoc-nha-trang-TSN.html
Đại Học Quảng Bình,/diem-chuan/dai-hoc-quang-binh-DQB.html
Đại Học Quy Nhơn,/diem-chuan/dai-hoc-quy-nhon-DQN.html
Đại Học Tài Chính Ngân Hàng Hà Nội,/diem-chuan/dai-hoc-tai-chinh-ngan-hang-ha-noi-FBU.html
Đại học Tài chính Quản trị kinh doanh,/diem-chuan/dai-hoc-tai-chinh-quan-tri-kinh-doanh-DFA.html
Đại Học Công Nghiệp Dệt May Hà Nội,/diem-chuan/dai-hoc-cong-nghiep-det-may-ha-noi-CCM.html
Đại Học Y Dược Hải Phòng,/diem-chuan/dai-hoc-y-duoc-hai-phong-YPB.html
Đại Học Kỹ Thuật Y Tế Hải Dương,/diem-chuan/dai-hoc-ky-thuat-y-te-hai-duong-DKY.html
Đại Học Lạc Hồng,/diem-chuan/dai-hoc-lac-hong-DLH.html
Đại Học Tây Bắc,/diem-chuan/dai-hoc-tay-bac-TTB.html
Đại Học Mỏ Địa Chất,/diem-chuan/dai-hoc-mo-dia-chat-MDA.html
Đại Học Kinh Tế Công Nghiệp Long An,/diem-chuan/dai-hoc-kinh-te-cong-nghiep-long-an-DLA.html
Đại Học Mỹ Thuật Công Nghiệp,/diem-chuan/dai-hoc-my-thuat-cong-nghiep-MTC.html
Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,/diem-chuan/dai-hoc-ngoai-ngu-dai-hoc-quoc-gia-ha-noi-QHF.html
Đại học Luật – Đại Học Quốc Gia Hà Nội,/diem-chuan/dai-hoc-luat-dai-hoc-quoc-gia-ha-noi-QHL.html
Đại Học Lao Động – Xã Hội (Cơ sở phía Nam),/diem-chuan/dai-hoc-lao-dong-xa-hoi-co-so-phia-nam-DLS.html
Đại Học Khoa Học Tự Nhiên – Đại Học Quốc Gia TPHCM,/diem-chuan/dai-hoc-khoa-hoc-tu-nhien-dai-hoc-quoc-gia-tphcm-QST.html
Học Viện Hàng không Việt Nam,/diem-chuan/hoc-vien-hang-khong-viet-nam-HHK.html
Đại Học Đông Đô,/diem-chuan/dai-hoc-dong-do-DDU.html
Đại Học Kinh Doanh và Công Nghệ Hà Nội,/diem-chuan/dai-hoc-kinh-doanh-va-cong-nghe-ha-noi-DQK.html
Đại Học Tài Chính Marketing,/diem-chuan/dai-hoc-tai-chinh-marketing-DMS.html
Đại Học Kinh Tế Quốc Dân,/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html
Đại Học Sài Gòn,/diem-chuan/dai-hoc-sai-gon-SGD.html
Đại Học Hải Phòng,/diem-chuan/dai-hoc-hai-phong-THP.html
Trường Sĩ Quan Kĩ Thuật Quân Sự -  Hệ Quân sự - Đại Học Trần Đại Nghĩa,/diem-chuan/truong-si-quan-ki-thuat-quan-su-he-quan-su-dai-hoc-tran-dai-nghia-VPH.html
Học Viện Phòng Không – Không Quân,/diem-chuan/hoc-vien-phong-khong-khong-quan-PKH.html
Đại Học An Giang - Đại học Quốc gia TPHCM,/diem-chuan/dai-hoc-an-giang-dai-hoc-quoc-gia-tphcm-QSA.html
Đại Học Sư Phạm Kỹ Thuật Nam Định,/diem-chuan/dai-hoc-su-pham-ky-thuat-nam-dinh-SKN.html
Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Nam),/diem-chuan/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-nam-BVS.html
Đại Học Điện Lực,/diem-chuan/dai-hoc-dien-luc-DDL.html
Học Viện Chính Sách và Phát Triển,/diem-chuan/hoc-vien-chinh-sach-va-phat-trien-HCP.html
Đại Học Phạm Văn Đồng,/diem-chuan/dai-hoc-pham-van-dong-DPQ.html
Đại Học Sư Phạm Kỹ Thuật Vinh,/diem-chuan/dai-hoc-su-pham-ky-thuat-vinh-SKV.html
Đại Học Y Dược Cần Thơ,/diem-chuan/dai-hoc-y-duoc-can-tho-YCT.html
Đại Học Công Nghiệp Quảng Ninh,/diem-chuan/dai-hoc-cong-nghiep-quang-ninh-DDM.html
Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc),/diem-chuan/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-bac-BVH.html
Đại Học Kinh Tế TPHCM,/diem-chuan/dai-hoc-kinh-te-tphcm-KSA.html
Đại Học Bách Khoa Hà Nội,/diem-chuan/dai-hoc-bach-khoa-ha-noi-BKA.html
Học viện Báo chí và Tuyên truyền,/diem-chuan/hoc-vien-bao-chi-va-tuyen-truyen-HBT.html
Đại Học Công Nghiệp Việt Hung,/diem-chuan/dai-hoc-cong-nghiep-viet-hung-VHD.html
Đại Học Bách Khoa – Đại Học Quốc Gia TPHCM,/diem-chuan/dai-hoc-bach-khoa-dai-hoc-quoc-gia-tphcm-QSB.html
Đại học Kỹ Thuật Công Nghệ Cần Thơ,/diem-chuan/dai-hoc-ky-thuat-cong-nghe-can-tho-KCC.html
Học Viện Kỹ Thuật Mật Mã,/diem-chuan/hoc-vien-ky-thuat-mat-ma-KMA.html
Đại học Tài Chính Kế Toán,/diem-chuan/dai-hoc-tai-chinh-ke-toan-UFA.html
Đại Học Công Nghệ Đồng Nai,/diem-chuan/dai-hoc-cong-nghe-dong-nai-DCD.html
Đại Học Giao Thông Vận Tải (Cơ sở Phía Bắc),/diem-chuan/dai-hoc-giao-thong-van-tai-co-so-phia-bac-GHA.html
Đại Học Cần Thơ,/diem-chuan/dai-hoc-can-tho-TCT.html
Đại Học Kinh Tế – Đại Học Đà Nẵng,/diem-chuan/dai-hoc-kinh-te-dai-hoc-da-nang-DDQ.html
Đại học Nam Cần Thơ,/diem-chuan/dai-hoc-nam-can-tho-DNC.html
Đại Học Sư Phạm – Đại Học Đà Nẵng,/diem-chuan/dai-hoc-su-pham-dai-hoc-da-nang-DDS.html
Đại học Ngoại thương (Cơ sở phía Nam),/diem-chuan/dai-hoc-ngoai-thuong-co-so-phia-nam-NTS.html
Đại học Ngoại thương (Cơ sở phía Bắc),/diem-chuan/dai-hoc-ngoai-thuong-co-so-phia-bac-NTH.html
Đại Học Hồng Đức,/diem-chuan/dai-hoc-hong-duc-HDT.html
Đại học Công Nghệ Thông Tin và Truyền Thông – Đại Học Thái Nguyên,/diem-chuan/dai-hoc-cong-nghe-thong-tin-va-truyen-thong-dai-hoc-thai-nguyen-DTC.html
Trường Ngoại Ngữ – Đại Học Thái Nguyên,/diem-chuan/truong-ngoai-ngu-dai-hoc-thai-nguyen-DTF.html
Đại Học Sư Phạm - Đại Học Thái Nguyên,/diem-chuan/daihoc-su-pham-dai-hoc-thai-nguyen-DTS.html
Đại Học Khoa Học – Đại Học Thái Nguyên,/diem-chuan/dai-hoc-khoa-hoc-dai-hoc-thai-nguyen-DTZ.html
Đại học Kinh tế Quản trị kinh doanh - Đại học Thái Nguyên,/diem-chuan/dai-hoc-kinh-tequan-tri-kinh-doanh-dai-hoc-thai-nguyen-DTE.html
Đại Học Kỹ Thuật Công Nghiệp – Đại Học Thái Nguyên,/diem-chuan/dai-hoc-ky-thuat-cong-nghiep-dai-hoc-thai-nguyen-DTK.html
Đại Học Nông Lâm – Đại Học Thái Nguyên,/diem-chuan/dai-hoc-nong-lam-dai-hoc-thai-nguyen-DTN.html
Đại Học Y Dược – Đại Học Thái Nguyên,/diem-chuan/dai-hoc-y-duoc-dai-hoc-thai-nguyen-DTY.html
Khoa Quốc Tế - Đại Học Thái Nguyên,/diem-chuan/khoa-quoc-te-dai-hoc-thai-nguyen-DTQ.html
Đại Học Y Dược Thái Bình,/diem-chuan/dai-hoc-y-duoc-thai-binh-YTB.html
Đại Học Phòng Cháy Chữa Cháy (Phía Bắc),/diem-chuan/dai-hoc-phong-chay-chua-chay-phia-bac-PCH.html
Đại Học Phòng Cháy Chữa Cháy (phía Nam),/diem-chuan/dai-hoc-phong-chay-chua-chay-phia-nam-PCS.html
Đại Học Hàng Hải Việt Nam,/diem-chuan/dai-hoc-hang-hai-viet-nam-HHA.html
Đại Học Quốc Tế Bắc Hà,/diem-chuan/dai-hoc-quoc-te-bac-ha-DBH.html
Học Viện Kỹ Thuật Quân Sự - Hệ Quân sự,/diem-chuan/hoc-vien-ky-thuat-quan-su-he-quan-su-KQH.html
Đại Học Đà Lạt,/diem-chuan/dai-hoc-da-lat-TDL.html
Đại học Công Nghệ TPHCM,/diem-chuan/dai-hoc-cong-nghe-tphcm-DKC.html
Đại Học Dược Hà Nội,/diem-chuan/dai-hoc-duoc-ha-noi-DKH.html
Đại Học Giao Thông Vận Tải TPHCM,/diem-chuan/dai-hoc-giao-thong-van-tai-tphcm-GTS.html
Đại Học Hùng Vương,/diem-chuan/dai-hoc-hung-vuong-THV.html
Đại Học Xây Dựng Miền Tây,/diem-chuan/dai-hoc-xay-dung-mien-tay-MTU.html
Đại Học Sư Phạm Kỹ Thuật Vĩnh Long,/diem-chuan/dai-hoc-su-pham-ky-thuat-vinh-long-VLU.html
Đại Học Công Nghệ Thông Tin – Đại Học Quốc Gia TPHCM,/diem-chuan/dai-hoc-cong-nghe-thong-tin-dai-hoc-quoc-gia-tphcm-QSC.html
Đại Học Thăng Long,/diem-chuan/dai-hoc-thang-long-DTL.html
Đại Học Luật TPHCM,/diem-chuan/dai-hoc-luat-tphcm-LPS.html
Đại Học Quảng Nam,/diem-chuan/dai-hoc-quang-nam-DQU.html
Đại Học Công Nghiệp Việt Trì,/diem-chuan/dai-hoc-cong-nghiep-viet-tri-VUI.html
Đại Học Phenikaa,/diem-chuan/dai-hoc-phenikaa-PKA.html
Đại Học Giao Thông Vận Tải (Cơ sở Phía Nam),/diem-chuan/dai-hoc-giao-thong-van-tai-co-so-phia-nam-GSA.html
Đại học Thủ Dầu Một,/diem-chuan/dai-hoc-thu-dau-mot-TDM.html
Học Viện Âm Nhạc Huế,/diem-chuan/hoc-vien-am-nhac-hue-HVA.html
Đại Học Quốc Tế – Đại Học Quốc Gia TPHCM,/diem-chuan/dai-hoc-quoc-te-dai-hoc-quoc-gia-tphcm-QSQ.html
Học Viện Quân Y - Hệ Quân sự,/diem-chuan/hoc-vien-quan-y-he-quan-su-YQH.html
Đại Học Bách Khoa – Đại Học Đà Nẵng,/diem-chuan/dai-hoc-bach-khoa-dai-hoc-da-nang-DDK.html
Đại Học Kinh Tế – Đại Học Quốc Gia Hà Nội,/diem-chuan/dai-hoc-kinh-te-dai-hoc-quoc-gia-ha-noi-QHE.html
Đại Học Công Nghệ – Đại Học Quốc Gia Hà Nội,/diem-chuan/dai-hoc-cong-nghe-dai-hoc-quoc-gia-ha-noi-QHI.html
Đại Học Giáo Dục - Đại học Quốc Gia Hà Nội,/diem-chuan/dai-hoc-giao-duc-dai-hoc-quoc-gia-ha-noi-QHS.html
Đại Học Khoa Học Tự Nhiên – Đại Học Quốc Gia Hà Nội,/diem-chuan/dai-hoc-khoa-hoc-tu-nhien-dai-hoc-quoc-gia-ha-noi-QHT.html
Đại Học Khoa Học Xã Hội và Nhân Văn – Đại Học Quốc Gia Hà Nội,/diem-chuan/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-dai-hoc-quoc-gia-ha-noi-QHX.html
Đại Học Tiền Giang,/diem-chuan/dai-hoc-tien-giang-TTG.html
Đại Học Sư Phạm Kỹ Thuật TPHCM,/diem-chuan/dai-hoc-su-pham-ky-thuat-tphcm-SPK.html
Trường Sĩ Quan Không Quân - Hệ Đại học,/diem-chuan/truong-si-quan-khong-quan-he-dai-hoc-KGH.html
Đại Học Sân Khấu Điện Ảnh Hà Nội,/diem-chuan/dai-hoc-san-khau-dien-anh-ha-noi-SKD.html
Đại Học Y Dược TPHCM,/diem-chuan/dai-hoc-y-duoc-tphcm-YDS.html
Đại học Nội vụ Hà Nội,/diem-chuan/dai-hoc-noi-vu-ha-noi-DNV.html
Đại Học Chu Văn An,/diem-chuan/dai-hoc-chu-van-an-DCA.html
Học Viện Hành Chính Quốc Gia (phía Nam),/diem-chuan/hoc-vien-hanh-chinh-quoc-gia-phia-nam-HCS.html
Đại Học Thể Dục Thể Thao Đà Nẵng,/diem-chuan/dai-hoc-the-duc-the-thao-da-nang-TTD.html
Trường Quốc Tế – Đại Học Quốc Gia Hà Nội,/diem-chuan/truong-quoc-te-dai-hoc-quoc-gia-ha-noi-QHQ.html
Đại Học Sư Phạm Thể Dục Thể Thao Hà Nội,/diem-chuan/dai-hoc-su-pham-the-duc-the-thao-ha-noi-TDH.html
Đại Học Bình Dương,/diem-chuan/dai-hoc-binh-duong-DBD.html
Đại học Nông Lâm Bắc Giang,/diem-chuan/dai-hoc-nong-lam-bac-giang-DBG.html
Đại Học Công Nghệ Đông Á,/diem-chuan/dai-hoc-cong-nghe-dong-a-DDA.html
Đại Học Nguyễn Tất Thành,/diem-chuan/dai-hoc-nguyen-tat-thanh-NTT.html
Đại học Tân Tạo,/diem-chuan/dai-hoc-tan-tao-TTU.html
Đại Học Đồng Tháp,/diem-chuan/dai-hoc-dong-thap-SPD.html
Đại Học Quốc Tế Hồng Bàng,/diem-chuan/dai-hoc-quoc-te-hong-bang-HIU.html
Học Viện An Ninh Nhân Dân,/diem-chuan/hoc-vien-an-ninh-nhan-dan-ANH.html
Đại Học An Ninh Nhân Dân,/diem-chuan/dai-hoc-an-ninh-nhan-dan-ANS.html
Đại học Y Dược Buôn Ma Thuột,/diem-chuan/dai-hoc-y-duoc-buon-ma-thuot-BMU.html
Đại Học Anh Quốc Việt Nam,/diem-chuan/dai-hoc-anh-quoc-viet-nam-BUV.html
Đại Học Bà Rịa – Vũng Tàu,/diem-chuan/dai-hoc-ba-ria-vung-tau-BVU.html
Học viện Công giáo Việt Nam,/diem-chuan/hoc-vien-cong-giao-viet-nam-CIV.html
Đại Học CMC,/diem-chuan/dai-hoc-cmc-CMC.html
Học Viện Cảnh Sát Nhân Dân,/diem-chuan/hoc-vien-canh-sat-nhan-dan-CSH.html
Đại Học Cảnh Sát Nhân Dân,/diem-chuan/dai-hoc-canh-sat-nhan-dan-CSS.html
Đại Học Đông Á,/diem-chuan/dai-hoc-dong-a-DAD.html
Đại Học Cửu Long,/diem-chuan/dai-hoc-cuu-long-DCL.html
Đại Học Công Nghệ và Quản Lý Hữu Nghị,/diem-chuan/dai-hoc-cong-nghe-va-quan-ly-huu-nghi-DCQ.html
Đại Học Thành Đông,/diem-chuan/dai-hoc-thanh-dong-DDB.html
Khoa Giáo dục thể chất - Đại học Đà Nẵng,/diem-chuan/khoa-giao-duc-the-chat-dai-hoc-da-nang-DDG.html
Đại Học Duy Tân,/diem-chuan/dai-hoc-duy-tan-DDT.html
Viện nghiên cứu và đào tạo Việt Anh - Đại học Đà Nẵng,/diem-chuan/vien-nghien-cuu-va-dao-tao-viet-anh-dai-hoc-da-nang-DDV.html
Khoa Kỹ thuật và Công nghệ - Đại học Huế,/diem-chuan/khoa-ky-thuat-va-cong-nghe-dai-hoc-hue-DHE.html
Khoa Quốc tế - Đại học Huế,/diem-chuan/khoa-quoc-te-dai-hoc-hue-DHI.html
Đại học Hùng Vương TPHCM,/diem-chuan/dai-hoc-hung-vuong-tphcm-DHV.html
Đại Học Kinh Tế Kỹ Thuật Bình Dương,/diem-chuan/dai-hoc-kinh-te-ky-thuat-binh-duong-DKB.html
Đại Học Hoa Lư,/diem-chuan/dai-hoc-hoa-lu-DNB.html
Đại Học Ngoại Ngữ Tin Học TPHCM,/diem-chuan/dai-hoc-ngoai-ngu-tin-hoc-tphcm-DNT.html
Đại Học Phan Châu Trinh,/diem-chuan/dai-hoc-phan-chau-trinh-DPC.html
Đại Học Phan Thiết,/diem-chuan/dai-hoc-phan-thiet-DPT.html
Đại Học Phú Xuân,/diem-chuan/dai-hoc-phu-xuan-DPX.html
Đại Học Sân Khấu Điện Ảnh TPHCM,/diem-chuan/dai-hoc-san-khau-dien-anh-tphcm-DSD.html
