"id","university_name","program_code","program_name","subject_combination","admission_method","admission_score","note"
26,Đại học Thủ Đô Hà Nội,"7810103",Quản trị dịch vụ du lịch và lữ hành,D15; D78; D14; D01,Điểm thi THPT năm 2024,24.88,""
27,Đại học Thủ Đô Hà Nội,"7810201",Quản trị khách sạn,D15; D78; D14; D01,Điểm thi THPT năm 2024,24.8,""
28,Đại học Thủ Đô Hà Nội,"7850201",Bảo hộ lao động,A00; A01; D01; D07,Điểm thi THPT năm 2024,26.5,""
29,Đại học Thủ Đô Hà Nội,"7140114",Quản lý giáo dục,D78; D14; D01; C00,Điểm học bạ năm 2024,27.39,""
30,Đại học Thủ Đô Hà Nội,"7140201",Giáo dục Mầm non,D96; D90; D72; D01,Điểm học bạ năm 2024,27.11,""
31,Đại học Thủ Đô Hà Nội,"7140206",Giáo dục Thể chất,T09; T10; T05; T08,Điểm học bạ năm 2024,22.4,""
32,Đại học Thủ Đô Hà Nội,"7140218",Sư phạm Lịch sử,D14; D09; D78; D96,Điểm học bạ năm 2024,28.6,""
33,Đại học Thủ Đô Hà Nội,"7220201",Ngôn ngữ Anh,D14; D15; D78; D01,Điểm học bạ năm 2024,27.9,""
34,Đại học Thủ Đô Hà Nội,"7220204",Ngôn ngữ Trung Quốc,D14; D15; D78; D01,Điểm học bạ năm 2024,27.7,""
35,Đại học Thủ Đô Hà Nội,"7229030",Văn học,D78; D14; D01; C00,Điểm học bạ năm 2024,27.84,""
36,Đại học Thủ Đô Hà Nội,"7229040",Văn hóa học,C00; C20; D01; D14,Điểm học bạ năm 2024,27.0,""
37,Đại học Thủ Đô Hà Nội,"7310201",Chính trị học,C00; D78; D66; D01,Điểm học bạ năm 2024,26.42,""
38,Đại học Thủ Đô Hà Nội,"7310401",Tâm lý học,D96; D14; D01; C00,Điểm học bạ năm 2024,27.5,""
39,Đại học Thủ Đô Hà Nội,"7310630",Việt Nam học,C00; D96; A00; D01,Điểm học bạ năm 2024,26.91,""
40,Đại học Thủ Đô Hà Nội,"7340101",Quản trị kinh doanh,C00; D96; A00; D01,Điểm học bạ năm 2024,27.49,""
41,Đại học Thủ Đô Hà Nội,"7340201",Tài chính - Ngân hàng,A00; A01; D01; D96,Điểm học bạ năm 2024,27.68,""
42,Đại học Thủ Đô Hà Nội,"7340403",Quản lý công,C00; D96; A00; D01,Điểm học bạ năm 2024,26.33,""
43,Đại học Thủ Đô Hà Nội,"7380101",Luật,C00; D78; D66; D01,Điểm học bạ năm 2024,27.3,""
44,Đại học Thủ Đô Hà Nội,"7460112",Toán ứng dụng,A01; A00; D07; D01,Điểm học bạ năm 2024,27.57,""
45,Đại học Thủ Đô Hà Nội,"7480201",Công nghệ thông tin,A01; A00; D07; D01,Điểm học bạ năm 2024,27.0,""
46,Đại học Thủ Đô Hà Nội,"7510406",Công nghệ kỹ thuật môi trường,A01; A00; D07; D01,Điểm học bạ năm 2024,17.1,""
47,Đại học Thủ Đô Hà Nội,"7510605",Logistics và quản lý chuỗi cung ứng,C00; D96; A00; D01,Điểm học bạ năm 2024,27.78,""
48,Đại học Thủ Đô Hà Nội,"7760101",Công tác xã hội,D78; D14; D01; C00,Điểm học bạ năm 2024,26.9,""
49,Đại học Thủ Đô Hà Nội,"7810103",Quản trị dịch vụ du lịch và lữ hành,D15; D78; D14; D01,Điểm học bạ năm 2024,26.81,""
50,Đại học Thủ Đô Hà Nội,"7810201",Quản trị khách sạn,D15; D78; D14; D01,Điểm học bạ năm 2024,26.62,""
51,Đại học Thủ Đô Hà Nội,"7850201",Bảo hộ lao động,A00; A01; D01; D07,Điểm học bạ năm 2024,27.5,""
52,Đại học Thủ Đô Hà Nội,"7140114",Quản lý giáo dục,"",Chứng chỉ quốc tế năm 2024,8.0,""
53,Đại học Thủ Đô Hà Nội,"7140201",Giáo dục Mầm non,"",Chứng chỉ quốc tế năm 2024,9.0,""
54,Đại học Thủ Đô Hà Nội,"7140202",Giáo dục Tiểu học,"",Chứng chỉ quốc tế năm 2024,9.0,""
55,Đại học Thủ Đô Hà Nội,"7140204",Giáo dục Công dân,"",Chứng chỉ quốc tế năm 2024,9.0,""
56,Đại học Thủ Đô Hà Nội,"7140209",Sư phạm Toán học,"",Chứng chỉ quốc tế năm 2024,9.0,""
57,Đại học Thủ Đô Hà Nội,"7140211",Sư phạm Vật lý,"",Chứng chỉ quốc tế năm 2024,9.0,""
58,Đại học Thủ Đô Hà Nội,"7140217",Sư phạm Ngữ văn,"",Chứng chỉ quốc tế năm 2024,9.0,""
59,Đại học Thủ Đô Hà Nội,"7140218",Sư phạm Lịch sử,"",Chứng chỉ quốc tế năm 2024,9.0,""
60,Đại học Thủ Đô Hà Nội,"7220201",Ngôn ngữ Anh,"",Chứng chỉ quốc tế năm 2024,9.0,""
61,Đại học Thủ Đô Hà Nội,"7220204",Ngôn ngữ Trung Quốc,"",Chứng chỉ quốc tế năm 2024,10.0,""
62,Đại học Thủ Đô Hà Nội,"7229030",Văn học,"",Chứng chỉ quốc tế năm 2024,9.0,""
63,Đại học Thủ Đô Hà Nội,"7229040",Văn hóa học,"",Chứng chỉ quốc tế năm 2024,8.0,""
64,Đại học Thủ Đô Hà Nội,"7310201",Chính trị học,"",Chứng chỉ quốc tế năm 2024,8.0,""
65,Đại học Thủ Đô Hà Nội,"7310401",Tâm lý học,"",Chứng chỉ quốc tế năm 2024,9.0,""
66,Đại học Thủ Đô Hà Nội,"7310630",Việt Nam học,"",Chứng chỉ quốc tế năm 2024,8.0,""
67,Đại học Thủ Đô Hà Nội,"7340101",Quản trị kinh doanh,"",Chứng chỉ quốc tế năm 2024,9.0,""
68,Đại học Thủ Đô Hà Nội,"7340201",Tài chính - Ngân hàng,"",Chứng chỉ quốc tế năm 2024,9.0,""
69,Đại học Thủ Đô Hà Nội,"7340403",Quản lý công,"",Chứng chỉ quốc tế năm 2024,8.0,""
70,Đại học Thủ Đô Hà Nội,"7380101",Luật,"",Chứng chỉ quốc tế năm 2024,8.0,""
71,Đại học Thủ Đô Hà Nội,"7460112",Toán ứng dụng,"",Chứng chỉ quốc tế năm 2024,9.0,""
72,Đại học Thủ Đô Hà Nội,"7480201",Công nghệ thông tin,"",Chứng chỉ quốc tế năm 2024,8.0,""
73,Đại học Thủ Đô Hà Nội,"7510406",Công nghệ kỹ thuật môi trường,"",Chứng chỉ quốc tế năm 2024,8.0,""
74,Đại học Thủ Đô Hà Nội,"7510605",Logistics và quản lý chuỗi cung ứng,"",Chứng chỉ quốc tế năm 2024,9.0,""
75,Đại học Thủ Đô Hà Nội,"7760101",Công tác xã hội,"",Chứng chỉ quốc tế năm 2024,8.0,""
76,Đại học Thủ Đô Hà Nội,"7810103",Quản trị dịch vụ du lịch và lữ hành,"",Chứng chỉ quốc tế năm 2024,9.0,""
77,Đại học Thủ Đô Hà Nội,"7810201",Quản trị khách sạn,"",Chứng chỉ quốc tế năm 2024,8.0,""
78,Đại học Thủ Đô Hà Nội,"7850201",Bảo hộ lao động,"",Chứng chỉ quốc tế năm 2024,9.0,""
79,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7320106",Công nghệ truyền thông (cử nhân),A00; A01; D01; D90,Điểm thi THPT năm 2024,23.7,""
80,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7320106DA",Công nghệ truyền thông - Chuyên ngành Thiết kế Mỹ thuật số (cử nhân),A00; A01; D01; D90,Điểm thi THPT năm 2024,23.52,""
81,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340101",Quản trị kinh doanh,A00; A01; D01; D90,Điểm thi THPT năm 2024,23.28,""
82,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340101EF",Quản trị kinh doanh - Chuyên ngành Quản trị tài chính số,A00; A01; D01; D90,Điểm thi THPT năm 2024,23.28,""
83,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340101EL",Quản trị kinh doanh - Chuyên ngành Quản trị Logistics và chuỗi cung ứng số,A00; A01; D01; D90,Điểm thi THPT năm 2024,24.0,""
84,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340101ET",Quản trị kinh doanh - Chuyên ngành Quản trị dịch vụ du lịch và lữ hành số,A00; A01; D01; D90,Điểm thi THPT năm 2024,23.5,""
85,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340101IM",Quản trị kinh doanh - Chuyên ngành Quản trị dự án Công nghệ thông tin,A00; A01; D01; D90,Điểm thi THPT năm 2024,22.5,""
86,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340115",Marketing,A00; A01; D01; D90,Điểm thi THPT năm 2024,24.01,""
87,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480107",Trí tuệ nhân tạo (kỹ sư),A00; A01; D01; D90,Điểm thi THPT năm 2024,23.0,""
88,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480108",Công nghệ kỹ thuật máy tính (kỹ sư),A00; A01; D01; D90,Điểm thi THPT năm 2024,22.5,""
89,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480108B",Công nghệ kỹ thuật máy tính (cử nhân),A00; A01; D01; D90,Điểm thi THPT năm 2024,22.0,""
90,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480108IC",Công nghệ kỹ thuật máy tính - chuyên ngành Thiết kế vi mạch bán dẫn (kỹ sư),A00; A01; D01; D90,Điểm thi THPT năm 2024,27.0,""
91,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480201",Công nghệ thông tin (kỹ sư),A00; A01; D01; D90,Điểm thi THPT năm 2024,23.0,""
92,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480201B",Công nghệ thông tin (cử nhân),A00; A01; D01; D90,Điểm thi THPT năm 2024,22.5,""
93,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480201DT",Công nghệ thông tin (cử nhân - Hựp tác doanh nghiệp),A00; A01; D01; D90,Điểm thi THPT năm 2024,22.0,""
94,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480202",An toàn thông tin (kỹ sư),A00; A01; D01; D90,Điểm thi THPT năm 2024,23.0,""
95,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7320106",Công nghệ truyền thông (cử nhân),A00; A01; D01; D07,Điểm học bạ năm 2024,25.5,""
96,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7320106DA",Công nghệ truyền thông - Chuyên ngành Thiết kế Mỹ thuật số (cử nhân),A00; A01; D01; D07,Điểm học bạ năm 2024,25.5,""
97,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340101",Quản trị kinh doanh,A00; A01; D01; D07,Điểm học bạ năm 2024,25.0,""
98,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340101EF",Quản trị kinh doanh - Chuyên ngành Quản trị tài chính số,A00; A01; D01; D07,Điểm học bạ năm 2024,24.0,""
99,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340101EL",Quản trị kinh doanh - Chuyên ngành Quản trị Logistics và chuỗi cung ứng số,A00; A01; D01; D07,Điểm học bạ năm 2024,26.0,""
100,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340101ET",Quản trị kinh doanh - Chuyên ngành Quản trị dịch vụ du lịch và lữ hành số,A00; A01; D01; D07,Điểm học bạ năm 2024,25.0,""
101,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340101IM",Quản trị kinh doanh - Chuyên ngành Quản trị dự án Công nghệ thông tin,A00; A01; D01; D07,Điểm học bạ năm 2024,24.0,""
102,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340115",Marketing,A00; A01; D01; D07,Điểm học bạ năm 2024,26.0,""
103,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480107",Trí tuệ nhân tạo (kỹ sư),A00; A01; D01; D07,Điểm học bạ năm 2024,25.0,""
104,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480108",Công nghệ kỹ thuật máy tính (kỹ sư),A00; A01; D01; D07,Điểm học bạ năm 2024,24.0,""
105,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480108B",Công nghệ kỹ thuật máy tính (cử nhân),A00; A01; D01; D07,Điểm học bạ năm 2024,24.0,""
106,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480108IC",Công nghệ kỹ thuật máy tính - chuyên ngành Thiết kế vi mạch bán dẫn (kỹ sư),A00; A01; D01; D07,Điểm học bạ năm 2024,27.0,""
107,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480201",Công nghệ thông tin (kỹ sư),A00; A01; D01; D07,Điểm học bạ năm 2024,25.0,""
108,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480201B",Công nghệ thông tin (cử nhân),A00; A01; D01; D07,Điểm học bạ năm 2024,24.0,""
109,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480201DT",Công nghệ thông tin (cử nhân - Hợp tác doanh nghiệp),A00; A01; D01; D07,Điểm học bạ năm 2024,24.0,""
110,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480202",An toàn thông tin (kỹ sư),A00; A01; D01; D07,Điểm học bạ năm 2024,24.0,""
111,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7320106",Công nghệ truyền thông (cử nhân),"",Điểm ĐGNL HCM năm 2024,650.0,""
112,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7320106DA",Công nghệ truyền thông - Chuyên ngành Thiết kế Mỹ thuật số (cử nhân),"",Điểm ĐGNL HCM năm 2024,650.0,""
113,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340101",Quản trị kinh doanh,"",Điểm ĐGNL HCM năm 2024,650.0,""
114,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340101EF",Quản trị kinh doanh - Chuyên ngành Quản trị tài chính số,"",Điểm ĐGNL HCM năm 2024,650.0,""
115,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340101EL",Quản trị kinh doanh - Chuyên ngành Quản trị Logistics và chuỗi cung ứng số,"",Điểm ĐGNL HCM năm 2024,700.0,""
116,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340101ET",Quản trị kinh doanh - Chuyên ngành Quàn trị dịch vụ du lịch và lữ hành số,"",Điểm ĐGNL HCM năm 2024,650.0,""
117,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340101IM",Quản tri kinh doanh - Chuyên ngành Quản trị dự án Công nghệ thông tin,"",Điểm ĐGNL HCM năm 2024,600.0,""
118,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7340115",Marketing,"",Điểm ĐGNL HCM năm 2024,700.0,""
119,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480107",Trí tuệ nhân tạo (kỹ sư),"",Điểm ĐGNL HCM năm 2024,650.0,""
120,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480108",Công nghệ kỹ thuật máy tính (kỹ sư),"",Điểm ĐGNL HCM năm 2024,650.0,""
121,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480108B",Công nghệ kỹ thuật máy tính (cử nhân),"",Điểm ĐGNL HCM năm 2024,600.0,""
122,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480108IC",Công nghệ kỹ thuật máy tinh - chuyên ngành Thiết kế vi mạch bán dẫn (kỹ sư),"",Điểm ĐGNL HCM năm 2024,700.0,""
123,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480201",Công nghệ thông tin (kỹ sư),"",Điểm ĐGNL HCM năm 2024,650.0,""
124,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480201B",Công nghệ thông tin (cử nhân),"",Điểm ĐGNL HCM năm 2024,650.0,""
125,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480201DT",Công nghệ thông tin (cử nhân - Hợp tác doanh nghiệp),"",Điểm ĐGNL HCM năm 2024,650.0,""
126,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn - Đại học Đà Nẵng,"7480202",An toàn thông tin (kỹ sư),"",Điểm ĐGNL HCM năm 2024,650.0,""
127,Đại Học Công Nghệ Vạn Xuân,"7220201",Ngôn ngữ Anh,D01; D90; D78; A01,Điểm thi THPT năm 2022,15.0,""
128,Đại Học Công Nghệ Vạn Xuân,"7340101",Quản trị kinh doanh,A12; C01; D01; D90,Điểm thi THPT năm 2022,15.0,""
129,Đại Học Công Nghệ Vạn Xuân,"7340201",Tài chính ngân hàng,A00; A01; D01; D90,Điểm thi THPT năm 2022,15.0,""
130,Đại Học Công Nghệ Vạn Xuân,"7340301",Kế toán,A00; A01; D01; D90,Điểm thi THPT năm 2022,15.0,""
131,Đại Học Công Nghệ Vạn Xuân,"7420201",Công nghệ sinh học,C08; B02; B00; D90,Điểm thi THPT năm 2022,15.0,""
132,Đại Học Công Nghệ Vạn Xuân,"7480201",Công nghệ thông tin,A00; A01; A16; D90,Điểm thi THPT năm 2022,15.0,""
133,Đại Học Công Nghệ Vạn Xuân,"7580201",Kỹ thuật xây dựng,A00; A01; D07; C01,Điểm thi THPT năm 2022,15.0,""
134,Đại Học Công Nghệ Vạn Xuân,"7810201",Quản trị khách sạn,C00; D78; D96; C15,Điểm thi THPT năm 2022,15.0,""
135,Đại Học Công Nghệ Vạn Xuân,"7220201",Ngôn ngữ Anh,D01; D90; D78; A01,Điểm học bạ năm 2022,17.0,""
136,Đại Học Công Nghệ Vạn Xuân,"7340101",Quản trị kinh doanh,A12; C01; D01; D90,Điểm học bạ năm 2022,17.0,""
137,Đại Học Công Nghệ Vạn Xuân,"7340201",Tài chính ngân hàng,A00; A01; D01; D90,Điểm học bạ năm 2022,17.0,""
138,Đại Học Công Nghệ Vạn Xuân,"7340301",Kế toán,A00; A01; D01; D90,Điểm học bạ năm 2022,17.0,""
139,Đại Học Công Nghệ Vạn Xuân,"7420201",Công nghệ sinh học,C08; B02; B00; D90,Điểm học bạ năm 2022,17.0,""
140,Đại Học Công Nghệ Vạn Xuân,"7480201",Công nghệ thông tin,A00; A01; A16; D90,Điểm học bạ năm 2022,17.0,""
141,Đại Học Công Nghệ Vạn Xuân,"7580201",Kỹ thuật xây dựng,A00; A01; D07; C01,Điểm học bạ năm 2022,17.0,""
142,Đại Học Công Nghệ Vạn Xuân,"7810201",Quản trị khách sạn,C00; D78; D96; C15,Điểm học bạ năm 2022,17.0,""
143,Đại Học Mỹ Thuật TPHCM,"7140222",Sư phạm Mỹ thuật,H,Điểm thi THPT năm 2017,23.0,""
144,Đại Học Mỹ Thuật TPHCM,"7210101","Lý luận, lịch sử và phê bình mỹ thuật",H,Điểm thi THPT năm 2017,26.0,""
145,Đại Học Mỹ Thuật TPHCM,"7210103",Hội hoạ,H,Điểm thi THPT năm 2017,23.5,""
146,Đại Học Mỹ Thuật TPHCM,"7210104",Đồ hoạ,H,Điểm thi THPT năm 2017,23.0,""
147,Đại Học Mỹ Thuật TPHCM,"7210105",Điêu khắc,H,Điểm thi THPT năm 2017,22.25,""
148,Đại Học Mỹ Thuật TPHCM,"7210403",Thiết kế đồ họa,H,Điểm thi THPT năm 2017,28.0,""
149,Đại Học Quang Trung,"7220201",Ngôn ngữ Anh,D01; D14; D15; D66,Điểm thi THPT năm 2024,15.0,""
150,Đại Học Quang Trung,"7310101",Kinh tế,A00; A09; C14; D01,Điểm thi THPT năm 2024,15.0,""
151,Đại Học Quang Trung,"7340101",Quản trị kinh doanh,A01; C14; D14; D15,Điểm thi THPT năm 2024,15.0,""
152,Đại Học Quang Trung,"7340201",Tài chính – Ngân hàng,A00; A09; C14; D10,Điểm thi THPT năm 2024,15.0,""
153,Đại Học Quang Trung,"7340301",Kế toán,A00; A09; C14; D10,Điểm thi THPT năm 2024,15.0,""
154,Đại Học Quang Trung,"7420201",Công nghệ sinh học,B00; B08; C08; D13,Điểm thi THPT năm 2024,15.0,""
155,Đại Học Quang Trung,"7480201",Công nghệ thông tin,A00; A01; C02; D01,Điểm thi THPT năm 2024,16.0,""
156,Đại Học Quang Trung,"7510103",Công nghệ Kỹ thuật xây dựng,A00; A09; C04; D10,Điểm thi THPT năm 2024,15.0,""
157,Đại Học Quang Trung,"7620115",Kinh tế Nông nghiệp,A09; B08; C08; D01,Điểm thi THPT năm 2024,15.0,""
158,Đại Học Quang Trung,"7720301",Điều Dưỡng,B00; B03; C08; D13,Điểm thi THPT năm 2024,19.0,""
159,Đại Học Quang Trung,"7720701",Y tế Công cộng,B00; B03; C08; D13,Điểm thi THPT năm 2024,15.0,""
160,Đại Học Quang Trung,"7810103",Quản trị dịch vụ du lịch và lữ hành,C00; D01; D14; D15,Điểm thi THPT năm 2024,15.0,""
161,Đại Học Quang Trung,"7810203",Quản trị Khách sạn - Nhà hàng,C00; D01; D14; D15,Điểm thi THPT năm 2024,15.0,""
162,Đại Học Quang Trung,"7220201",Ngôn ngữ Anh,D01; D14; D15; D66,Điểm học bạ năm 2024,18.0,""
163,Đại Học Quang Trung,"7310101",Kinh tế,A00; A09; C14; D01,Điểm học bạ năm 2024,18.0,""
164,Đại Học Quang Trung,"7340101",Quản trị kinh doanh,A01; C14; D14; D15,Điểm học bạ năm 2024,18.0,""
165,Đại Học Quang Trung,"7340201",Tài chính – Ngân hàng,A00; A09; C14; D10,Điểm học bạ năm 2024,18.0,""
166,Đại Học Quang Trung,"7340301",Kế toán,A00; A09; C14; D10,Điểm học bạ năm 2024,18.0,""
167,Đại Học Quang Trung,"7420201",Công nghệ sinh học,B00; B08; C08; D13,Điểm học bạ năm 2024,18.0,""
168,Đại Học Quang Trung,"7480201",Công nghệ thông tin,A00; A01; C02; D01,Điểm học bạ năm 2024,18.0,""
169,Đại Học Quang Trung,"7510103",Công nghệ Kỹ thuật xây dựng,A00; A09; C04; D10,Điểm học bạ năm 2024,18.0,""
170,Đại Học Quang Trung,"7620115",Kinh tế Nông nghiệp,A09; B08; C08; D01,Điểm học bạ năm 2024,18.0,""
171,Đại Học Quang Trung,"7720301",Điều Dưỡng,B00; B03; C08; D13,Điểm học bạ năm 2024,18.0,""
172,Đại Học Quang Trung,"7720701",Y tế Công cộng,B00; B03; C08; D13,Điểm học bạ năm 2024,18.0,""
173,Đại Học Quang Trung,"7810103",Quản trị dịch vụ du lịch và lữ hành,C00; D01; D14; D15,Điểm học bạ năm 2024,18.0,""
174,Đại Học Quang Trung,"7810203",Quản trị Khách sạn – Nhà hàng,C00; D01; D14; D15,Điểm học bạ năm 2024,18.0,""
175,Đại Học Quang Trung,"7220201",Ngôn ngữ Anh,"",Điểm ĐGNL HCM năm 2024,500.0,""
176,Đại Học Quang Trung,"7310101",Kinh tế,"",Điểm ĐGNL HCM năm 2024,500.0,""
177,Đại Học Quang Trung,"7340101",Quản trị kinh doanh,"",Điểm ĐGNL HCM năm 2024,500.0,""
178,Đại Học Quang Trung,"7340201",Tài chính – Ngân hàng,"",Điểm ĐGNL HCM năm 2024,500.0,""
